parcelid	land use	zoning	assessed total	appraised total
04350000300	Commercial  	I. Central Business District	$2,118,400.00	$6,620,000.00
03640000300	single family units  	D. Multiple Family Residential	$1,200.00	$6,300.00
02120000200	Commercial  	K. Unrestricted	$200,300.00	$625,900.00
05660000400	Commercial  	J. Industrial	$19,100.00	$59,700.00
06330000170	single family units  	F. Neighborhood Commercial	$17,250.00	$90,800.00
05350000300	Commercial  	I. Central Business District	$9,400.00	$29,400.00
03390001400	multi-family residential  	D. Multiple Family Residential	$1,650.00	$8,700.00
03120000200	Commercial  	K. Unrestricted	$11,300.00	$35,300.00
03880000100	Commercial  		$223,000.00	$696,900.00
06630002800				
03730001800	single family units  	D. Multiple Family Residential	$16,070.00	$84,600.00
04830403400				
02620004000	single family units  	D. Multiple Family Residential	$9,500.00	$50,000.00
05390000560	Commercial  	J. Industrial	$14,100.00	$44,100.00
04840001600				
03610001200	Commercial  	F. Neighborhood Commercial	$4,300.00	$13,400.00
01480000450	Commercial  	I. Central Business District	$87,300.00	$272,800.00
04620502000	Commercial  	I. Central Business District	$416,800.00	$1,302,500.00
02190000300	Commercial  	I. Central Business District	$0.00	$0.00
06400000600	vacant residential lot  	D. Multiple Family Residential	$1,010.00	$5,300.00
02340000140	Commercial  	K. Unrestricted	$0.00	$0.00
03610000570	Commercial  	F. Neighborhood Commercial	$20,500.00	$64,100.00
06900000900	Commercial  	K. Unrestricted	$8,600.00	$26,900.00
06130000100	Commercial  	J. Industrial	$107,200.00	$335,000.00
01420000100	Commercial  		$123,800.00	$386,900.00
06250000950	Commercial  	J. Industrial	$93,800.00	$293,100.00
03350300190	Commercial  	K. Unrestricted	$27,800.00	$86,900.00
06360000700	four family unit  	D. Multiple Family Residential	$9,180.00	$48,300.00
03990600340	single family units  	D. Multiple Family Residential	$24,780.00	$130,400.00
05270000900	Commercial  	I. Central Business District	$5,300.00	$16,600.00
00420000100	Commercial  	L. Jefferson Memorial District	$203,000.00	$634,400.00
01210000100	Commercial  	I. Central Business District	$1,184,300.00	$3,700,900.00
05760000370	Commercial  	J. Industrial	$100.00	$300.00
06230000600				
03960000100				
01610000850	Commercial  		$9,800.00	$30,600.00
05620003600	single family units  	D. Multiple Family Residential	$6,570.00	$34,600.00
02960000100	Commercial  	K. Unrestricted	$169,100.00	$528,400.00
06590000160	Commercial  	J. Industrial	$65,400.00	$204,400.00
03270001400	Commercial  	K. Unrestricted	$171,000.00	$534,400.00
04570001020	Commercial  	I. Central Business District	$384,400.00	$1,201,300.00
02290000400	Commercial  	K. Unrestricted	$57,400.00	$179,400.00
07800001900	three family unit  	D. Multiple Family Residential	$32,930.00	$173,300.00
01240001000	Commercial  	I. Central Business District	$84,200.00	$263,100.00
06730100700	Commercial  	G. Local Commercial and Office	$40,800.00	$127,500.00
03260001050	Commercial  	J. Industrial	$23,600.00	$73,800.00
06800001900	single family units  	D. Multiple Family Residential	$11,190.00	$58,900.00
04830403860	Commercial  	F. Neighborhood Commercial	$51,700.00	$161,600.00
06280000700	vacant residential lot  	D. Multiple Family Residential	$2,470.00	$13,000.00
01520001100	Commercial  	I. Central Business District	$135,400.00	$423,100.00
05070000180				
01280000110	Commercial  	I. Central Business District	$2,623,100.00	$8,197,200.00
04620500750	Commercial  	I. Central Business District	$43,000.00	$134,400.00
01370401000	Commercial  	L. Jefferson Memorial District	$0.00	$0.00
04640401050	vacant residential lot  	D. Multiple Family Residential	$10,530.00	$55,400.00
05520000120	Commercial  	D. Multiple Family Residential	$5,600.00	$17,500.00
00200000550	Commercial  	K. Unrestricted	$7,400.00	$23,100.00
04050000400	four family unit  	D. Multiple Family Residential	$36,940.00	$194,400.00
04540000210	Commercial  	J. Industrial	$2,500.00	$7,800.00
03770000130	Commercial  	J. Industrial	$3,500.00	$10,900.00
03710000200	Commercial  	G. Local Commercial and Office	$67,500.00	$210,900.00
04820302500	vacant residential lot  	D. Multiple Family Residential	$2,490.00	$13,100.00
05260000130	Commercial  	I. Central Business District	$88,200.00	$275,600.00
06970000200	Commercial  	K. Unrestricted	$149,900.00	$468,400.00
05640300100	Commercial  	J. Industrial	$61,300.00	$191,600.00
05950002100	Commercial  	G. Local Commercial and Office	$1,100.00	$3,400.00
06890000600	Commercial  	K. Unrestricted	$3,800.00	$11,900.00
03440001000	Commercial  	J. Industrial	$800.00	$2,500.00
02190000700	Commercial  	I. Central Business District	$39,600.00	$123,800.00
05630001100	vacant residential lot  	D. Multiple Family Residential	$1,180.00	$6,200.00
05960001800	Commercial  	G. Local Commercial and Office	$800.00	$2,500.00
03190000700	Commercial  	K. Unrestricted	$5,300.00	$16,600.00
06360000300	vacant residential lot  	D. Multiple Family Residential	$60.00	$300.00
03650000350	two family unit  	J. Industrial	$890.00	$4,700.00
04340000350				
06110000410	Commercial  	J. Industrial	$2,400.00	$7,500.00
06400000200	vacant residential lot  	D. Multiple Family Residential	$340.00	$1,800.00
05810000300	Commercial  	I. Central Business District	$96,400.00	$301,300.00
03740500100	Commercial  	G. Local Commercial and Office	$369,600.00	$1,155,000.00
06240000900	vacant residential lot  	F. Neighborhood Commercial	$230.00	$1,200.00
04100000100	multi-family residential  	E. Multiple Family Residential	$156,290.00	$822,600.00
03390001000	vacant residential lot  	J. Industrial	$110.00	$600.00
05100000100	Commercial  	I. Central Business District	$777,500.00	$2,429,700.00
06820000700	vacant residential lot  	D. Multiple Family Residential	$3,040.00	$16,000.00
03640000700	vacant residential lot  	D. Multiple Family Residential	$170.00	$900.00
03860001500	two family unit  	D. Multiple Family Residential	$29,370.00	$154,600.00
06180000400	vacant residential lot  	C. Multiple Family Residential	$250.00	$1,300.00
06330001200	multi-building residential  	D. Multiple Family Residential	$2,070.00	$10,900.00
01470001400	Commercial  	I. Central Business District	$72,800.00	$227,500.00
06160001400	Commercial  	J. Industrial	$64,200.00	$200,600.00
04820900700	single family units  	B. Two Family Residential	$58,160.00	$306,100.00
07180000400	Commercial  	G. Local Commercial and Office	$154,500.00	$482,800.00
04420080100	 	J. Industrial		
01520001500	Commercial  	I. Central Business District	$10,600.00	$33,100.00
05910001300	Commercial  	J. Industrial	$3,300.00	$10,300.00
04750001540	single family units  	A. Single Family Residential	$36,080.00	$189,900.00
07280000300	Commercial  	J. Industrial	$84,700.00	$264,700.00
04180000920	Commercial  		$109,300.00	$341,600.00
01240001400	Commercial  	I. Central Business District	$28,800.00	$90,000.00
06730100300	Commercial  	G. Local Commercial and Office	$27,700.00	$86,600.00
04740301100	single family units  	D. Multiple Family Residential	$25,610.00	$134,800.00
04850003100	single family units  	B. Two Family Residential	$27,360.00	$144,000.00
04820302100	vacant residential lot  	D. Multiple Family Residential	$2,150.00	$11,300.00
06970000600	Commercial  	J. Industrial, K. Unrestricted	$179,500.00	$560,900.00
03220000100	Commercial  	K. Unrestricted	$7,800.00	$24,400.00
02970000150	Commercial  	K. Unrestricted	$60,500.00	$189,100.00
06330000910	vacant residential lot  	F. Neighborhood Commercial	$300.00	$1,600.00
00200000150	Commercial  	K. Unrestricted	$68,000.00	$212,500.00
06060000400	Commercial  	K. Unrestricted	$2,300.00	$7,200.00
07230000200	Commercial  	K. Unrestricted	$27,900.00	$87,200.00
05620003200	single family units  	D. Multiple Family Residential	$8,000.00	$42,100.00
06700000500	single family units  	G. Local Commercial and Office	$15,200.00	$80,000.00
03990502000	vacant residential lot  	D. Multiple Family Residential	$23,520.00	$123,800.00
06230000200	Commercial  	F. Neighborhood Commercial	$4,600.00	$14,400.00
06820002050	Commercial  	D. Multiple Family Residential	$32,100.00	$100,300.00
00660002000	Commercial  	L. Jefferson Memorial District	$2,000.00	$6,300.00
06340001900	single family units  	F. Neighborhood Commercial	$18,510.00	$97,400.00
01610002100	Commercial  	I. Central Business District	$15,600.00	$48,800.00
04660303650	vacant residential lot  	D. Multiple Family Residential	$380.00	$2,000.00
03730001600	single family units  	D. Multiple Family Residential	$24,280.00	$127,800.00
06630002600	two family unit  	D. Multiple Family Residential	$23,180.00	$122,000.00
00260000400	Commercial  	L. Jefferson Memorial District	$553,200.00	$1,728,800.00
04970000120				
04500000250	Commercial  	K. Unrestricted	$35,000.00	$109,400.00
06790001400	single family units  	D. Multiple Family Residential	$28,690.00	$151,000.00
06520000200	Commercial  	J. Industrial	$1,000.00	$3,100.00
04750000450	multi-family residential  	E. Multiple Family Residential	$13,720.00	$72,200.00
00500000500	Commercial  	L. Jefferson Memorial District	$500.00	$1,600.00
05520000340	Commercial  	D. Multiple Family Residential	$66,100.00	$206,600.00
04640401230	single family units  	D. Multiple Family Residential	$26,300.00	$138,400.00
06770000400	vacant residential lot  		$2,380.00	$12,500.00
07010000500	Commercial  	K. Unrestricted	$31,100.00	$97,200.00
06900000700	Commercial  	K. Unrestricted	$46,000.00	$143,800.00
05270000700	Commercial  	I. Central Business District	$5,300.00	$16,600.00
06360000900	four family unit  	D. Multiple Family Residential	$9,290.00	$48,900.00
03530000100	Commercial  		$0.00	$0.00
06570001300	Commercial  	J. Industrial	$600.00	$1,900.00
02620002500	single family units  	D. Multiple Family Residential	$12,220.00	$64,300.00
05960001200	Commercial  	J. Industrial	$24,500.00	$76,600.00
06210001200	single family units  	D. Multiple Family Residential	$870.00	$4,600.00
01700001200				
06340001300	two family unit  	F. Neighborhood Commercial	$270.00	$1,400.00
07690000400	Commercial  	K. Unrestricted	$61,000.00	$190,600.00
07750007500	Commercial  	K. Unrestricted	$2,288,600.00	$7,151,900.00
04030002200	single family units  	D. Multiple Family Residential	$25,310.00	$133,200.00
05610000100	Commercial  	D. Multiple Family Residential	$60,800.00	$190,000.00
06230000800	two family unit  	D. Multiple Family Residential	$1,200.00	$6,300.00
04650302800	single family units  	D. Multiple Family Residential	$39,860.00	$209,800.00
02340000320	Commercial  	K. Unrestricted	$500.00	$1,600.00
05620003800	single family units  	D. Multiple Family Residential	$6,570.00	$34,600.00
01610000650	Commercial  	I. Central Business District	$19,200.00	$60,000.00
04320000600	Commercial  	K. Unrestricted	$38,500.00	$120,300.00
03840000500	two family unit  	D. Multiple Family Residential	$16,090.00	$84,700.00
04650304300	single family units  	D. Multiple Family Residential	$2,490.00	$13,100.00
04670301550	single family units  	D. Multiple Family Residential	$30,360.00	$159,800.00
03860000410	two family unit  	D. Multiple Family Residential	$54,950.00	$289,200.00
04860000200	Commercial  	J. Industrial	$6,400.00	$20,000.00
03310000550	Commercial  	K. Unrestricted	$41,600.00	$130,000.00
04830301310				
04820901610	single family units  	B. Two Family Residential	$39,160.00	$206,100.00
02840000500	Commercial  	K. Unrestricted	$600.00	$1,900.00
02050500100	Commercial  	I. Central Business District	$2,407,700.00	$7,524,100.00
06660000720	single family units  	G. Local Commercial and Office	$38,950.00	$205,000.00
06140000400	two family unit  	J. Industrial	$1,100.00	$5,800.00
04180000320	Commercial  	K. Unrestricted	$16,900.00	$52,800.00
07800001700	multi-building residential  	D. Multiple Family Residential	$45,640.00	$240,200.00
06280000900	single family units  	D. Multiple Family Residential	$1,810.00	$9,500.00
06800001700	two family unit  	D. Multiple Family Residential	$40,600.00	$213,700.00
02390000110	Commercial  	K. Unrestricted	$21,200.00	$66,300.00
00410001150	Commercial  	L. Jefferson Memorial District	$1,700.00	$5,300.00
05390000700	Commercial  	J. Industrial	$13,700.00	$42,800.00
03640000550	vacant residential lot  	D. Multiple Family Residential	$170.00	$900.00
03820000200	multi-family residential  	D. Multiple Family Residential	$57,230.00	$301,200.00
06120000300	Commercial  	J. Industrial	$99,800.00	$311,900.00
06390001500	two family unit  	D. Multiple Family Residential	$1,670.00	$8,800.00
03840000130	single family units  	D. Multiple Family Residential	$22,800.00	$120,000.00
03390001250	vacant residential lot  	J. Industrial	$420.00	$2,200.00
03950001900	four family unit  	G. Local Commercial and Office	$24,830.00	$130,700.00
03450001600	Commercial  	J. Industrial	$900.00	$2,800.00
05490000100	Commercial  	D. Multiple Family Residential	$13,700.00	$42,800.00
02180000100	Commercial  	I. Central Business District	$0.00	$0.00
07180000650	Commercial  	J. Industrial	$45,300.00	$141,600.00
04180000710	Commercial  	I. Central Business District	$2,189,000.00	$6,840,600.00
03180000100	Commercial  	K. Unrestricted	$5,300.00	$16,600.00
03600001000	vacant residential lot  	D. Multiple Family Residential	$80.00	$400.00
02160001100	Commercial  	I. Central Business District	$0.00	$0.00
03350300350	Commercial  	K. Unrestricted	$58,500.00	$182,800.00
04820300400	vacant residential lot  	C. Multiple Family Residential	$2,150.00	$11,300.00
03190000550	Commercial  	K. Unrestricted	$135,300.00	$422,800.00
02890000300	Commercial  	K. Unrestricted	$25,700.00	$80,300.00
04850001400	single family units  	B. Two Family Residential	$70,070.00	$368,800.00
00480000200	Commercial  		$5,400.00	$16,900.00
06170001200	Commercial  	G. Local Commercial and Office	$600.00	$1,900.00
03890000300	vacant residential lot  		$3,330.00	$17,500.00
05340000100	Commercial  	I. Central Business District	$24,700.00	$77,200.00
03380001600	vacant residential lot  	D. Multiple Family Residential	$110.00	$600.00
02650000100	Commercial  	I. Central Business District	$1,422,900.00	$4,446,600.00
03400000700	Commercial  	J. Industrial	$400.00	$1,300.00
03650000100	Commercial  	J. Industrial	$1,900.00	$5,900.00
01810000600	Commercial  	I. Central Business District	$137,900.00	$430,900.00
01510000900	Commercial  	I. Central Business District	$2,900.00	$9,100.00
00270000800	Commercial  	L. Jefferson Memorial District	$320,000.00	$1,000,000.00
05110000700	Commercial  	I. Central Business District	$56,000.00	$175,000.00
01290001800	Commercial  	I. Central Business District	$448,000.00	$1,400,000.00
07800003800	Commercial  	D. Multiple Family Residential	$24,400.00	$76,300.00
04830302700	vacant residential lot  	D. Multiple Family Residential	$1,810.00	$9,500.00
04650302050	vacant residential lot  	D. Multiple Family Residential	$2,000.00	$10,500.00
07060000650	Commercial  	K. Unrestricted	$15,600.00	$48,800.00
03230000700	Commercial  	J. Industrial	$3,900.00	$12,200.00
03910081410	 	D. Multiple Family Residential		
05570000100	vacant residential lot  	I. Central Business District	$860.00	$4,500.00
07040000740	Commercial  	J. Industrial	$16,700.00	$52,200.00
04040000600				
03850000900				
06780100050	Commercial  	F. Neighborhood Commercial	$17,100.00	$53,400.00
04830401500	single family units  	B. Two Family Residential	$36,330.00	$191,200.00
00710300500	Commercial  	K. Unrestricted	$29,200.00	$91,300.00
01780000500	Commercial  	I. Central Business District	$39,900.00	$124,700.00
06820002200				
04750001710	vacant residential lot  	A. Single Family Residential	$460.00	$2,400.00
03830002100	two family unit  	D. Multiple Family Residential	$37,510.00	$197,400.00
06660001800	single family units  	D. Multiple Family Residential	$43,660.00	$229,800.00
03870600510	single family units  	D. Multiple Family Residential	$39,460.00	$207,700.00
02140400550	Commercial  	K. Unrestricted	$59,600.00	$186,300.00
04640401600	single family units  	D. Multiple Family Residential	$28,060.00	$147,700.00
04620500100	Commercial  	I. Central Business District	$122,100.00	$381,600.00
05220380600	 	I. Central Business District		
06070000200				
04050000250	vacant residential lot  	D. Multiple Family Residential	$290.00	$1,500.00
00200000300	Commercial  	K. Unrestricted	$47,100.00	$147,200.00
06220000400	single family units  	D. Multiple Family Residential	$3,400.00	$17,900.00
06710000300	two family unit  	H. Area Commercial	$11,840.00	$62,300.00
00740000500				
04510000450	Commercial  	K. Unrestricted	$37,700.00	$117,800.00
05900000410	Commercial  	J. Industrial	$92,400.00	$288,800.00
06020000210	Commercial  	J. Industrial	$5,600.00	$17,500.00
01290001200	Commercial  	I. Central Business District	$60,200.00	$188,100.00
01510000300	Commercial  	I. Central Business District	$728,400.00	$2,276,300.00
05740000250	Commercial  	J. Industrial	$79,900.00	$249,700.00
06000000300	Commercial  	J. Industrial	$7,900.00	$24,700.00
01940000160				
03900000200	single family units  	D. Multiple Family Residential	$26,050.00	$137,100.00
01740000500	Commercial  	I. Central Business District	$34,100.00	$106,600.00
06740000310	Commercial  	G. Local Commercial and Office	$2,700.00	$8,400.00
06760000200	vacant residential lot  		$24,800.00	$130,500.00
01700001050	Commercial  	I. Central Business District	$72,000.00	$225,000.00
03590000600	vacant residential lot  	D. Multiple Family Residential	$110.00	$600.00
03720001000	single family units  	D. Multiple Family Residential	$23,450.00	$123,400.00
03840002000				
04670303050	Commercial  	D. Multiple Family Residential	$1,500.00	$4,700.00
04570001010	Commercial  	I. Central Business District	$717,100.00	$2,240,900.00
03460002500	Commercial  	J. Industrial	$29,800.00	$93,100.00
04660303400	single family units  	D. Multiple Family Residential	$35,800.00	$188,400.00
06200001400	two family unit  	D. Multiple Family Residential	$930.00	$4,900.00
03950001300	single family units  	D. Multiple Family Residential	$39,900.00	$210,000.00
05030000700	Commercial  	I. Central Business District	$21,400.00	$66,900.00
05520000110	Commercial  	D. Multiple Family Residential	$6,100.00	$19,100.00
03770000100	Commercial  	J. Industrial	$323,200.00	$1,010,000.00
06240000150	three family unit  	D. Multiple Family Residential	$10,830.00	$57,000.00
04260000100	Commercial  	I. Central Business District	$0.00	$0.00
03820000800	single family units  	G. Local Commercial and Office	$5,130.00	$27,000.00
04030000700	vacant residential lot  	D. Multiple Family Residential	$3,930.00	$20,700.00
07240000150	Commercial  	K. Unrestricted	$2,200.00	$6,900.00
02770000100	Commercial  	I. Central Business District	$116,100.00	$362,800.00
00750000150	Commercial  	L. Jefferson Memorial District	$30,000.00	$93,800.00
03140000100	Commercial  	K. Unrestricted	$17,600.00	$55,000.00
06470000150	Commercial  	J. Industrial	$6,900.00	$21,600.00
01160000150	Commercial  	I. Central Business District	$23,216,000.00	$72,550,000.00
06710000900	vacant residential lot  	H. Area Commercial	$1,750.00	$9,200.00
03470000600	vacant residential lot  	J. Industrial	$250.00	$1,300.00
02600000110	Commercial  	I. Central Business District	$453,000.00	$1,415,600.00
04670301700	single family units  	D. Multiple Family Residential	$57,250.00	$301,300.00
04830304600	vacant residential lot  	G. Local Commercial and Office	$3,250.00	$17,100.00
04860000050	Commercial  	J. Industrial	$113,000.00	$353,100.00
03600000110	Commercial  	D. Multiple Family Residential	$1,000.00	$3,100.00
06660001200	Commercial  	G. Local Commercial and Office	$2,700.00	$8,400.00
05390000550	Commercial  	J. Industrial	$10,800.00	$33,800.00
00410001300	Commercial  	L. Jefferson Memorial District	$10,700.00	$33,400.00
06800001550	four family unit  	D. Multiple Family Residential	$29,490.00	$155,200.00
06430001400	vacant residential lot  	D. Multiple Family Residential	$170.00	$900.00
02060600600	Commercial  	I. Central Business District	$392,000.00	$1,225,000.00
05560400100	Commercial  	I. Central Business District	$41,400.00	$129,400.00
03690000100	Commercial  	G. Local Commercial and Office	$36,700.00	$114,700.00
07810001100	Commercial  	D. Multiple Family Residential	$57,400.00	$179,400.00
06810001100	single family units  	D. Multiple Family Residential	$66,610.00	$350,600.00
05380000100	Commercial  	J. Industrial	$41,200.00	$128,800.00
06630000300	Commercial  	G. Local Commercial and Office	$3,500.00	$10,900.00
03850000300	single family units  	D. Multiple Family Residential	$70,550.00	$371,300.00
01440000200	Commercial  	I. Central Business District	$46,300.00	$144,700.00
06150000200	Commercial  	J. Industrial	$48,000.00	$150,000.00
02850000300	Commercial  	K. Unrestricted	$13,700.00	$42,800.00
04650302910	vacant residential lot  	D. Multiple Family Residential	$5,800.00	$30,500.00
05630000100	Commercial  	D. Multiple Family Residential	$0.00	$0.00
01700000800	Commercial  	I. Central Business District	$281,400.00	$879,400.00
06680300150	Commercial  	K. Unrestricted	$423,400.00	$1,323,100.00
06210000800	vacant residential lot  	D. Multiple Family Residential	$320.00	$1,700.00
00850000100	Commercial  	L. Jefferson Memorial District	$2,490,900.00	$7,784,100.00
04170000110	Commercial  	I. Central Business District	$4,500.00	$14,100.00
04670302800	single family units  	D. Multiple Family Residential	$26,180.00	$137,800.00
03320000100	Commercial  	K. Unrestricted	$219,000.00	$684,400.00
04480001700	Commercial  	J. Industrial	$4,200.00	$13,100.00
05960000800	Commercial  	C. Multiple Family Residential	$3,700.00	$11,600.00
02170000700	Commercial  	I. Central Business District	$0.00	$0.00
01850000100	Commercial  	I. Central Business District	$4,960,000.00	$15,500,000.00
04300000600	Commercial  	J. Industrial	$66,900.00	$209,100.00
04080000920	single family units  	D. Multiple Family Residential	$14,740.00	$77,600.00
07380000300	Commercial  	K. Unrestricted	$12,400.00	$38,800.00
06400001200	vacant residential lot  	D. Multiple Family Residential	$290.00	$1,500.00
05280000950	Commercial  	I. Central Business District	$38,800.00	$121,300.00
06240001900	vacant residential lot  	D. Multiple Family Residential	$130.00	$700.00
06730100810	Commercial  	G. Local Commercial and Office	$22,000.00	$68,800.00
03640001700	two family unit  	D. Multiple Family Residential	$1,770.00	$9,300.00
04630300110	Commercial  	I. Central Business District	$3,500.00	$10,900.00
06820001700	multi-family residential  	D. Multiple Family Residential	$90,610.00	$476,900.00
01620000200	Commercial  		$71,600.00	$223,800.00
01490001400	Commercial  		$3,000.00	$9,400.00
00470000400	Commercial  	K. Unrestricted	$10,400.00	$32,500.00
03870503000	Commercial  	F. Neighborhood Commercial	$39,900.00	$124,700.00
05310000250	Commercial  	I. Central Business District	$131,100.00	$409,700.00
07330000200	Commercial  	K. Unrestricted	$7,800.00	$24,400.00
04830402000	four family unit  	B. Two Family Residential	$52,000.00	$273,700.00
07600000500	Commercial  	K. Unrestricted	$8,000.00	$25,000.00
06160000400	vacant residential lot  	D. Multiple Family Residential	$490.00	$2,600.00
01520000500	Commercial  	I. Central Business District	$4,400.00	$13,800.00
03380002300	Commercial  	J. Industrial	$3,400.00	$10,600.00
04520000250	Commercial  		$5,200.00	$16,300.00
00770000300	Commercial  		$10,900.00	$34,100.00
01240000400	Commercial  	I. Central Business District	$25,300.00	$79,100.00
03910000510	vacant residential lot  	D. Multiple Family Residential	$2,000.00	$10,500.00
00520000500	Commercial  	L. Jefferson Memorial District	$600.00	$1,900.00
01770000300	Commercial  	I. Central Business District	$26,300.00	$82,200.00
00010000200	Commercial  		$6,500.00	$20,300.00
04630402800	single family units  	D. Multiple Family Residential	$22,060.00	$116,100.00
04850002100	single family units  	B. Two Family Residential	$28,800.00	$151,600.00
02580000110	multi-family residential  	D. Multiple Family Residential	$361,000.00	$1,900,000.00
02100600100	Commercial  	I. Central Business District	$0.00	$0.00
05620002200	single family units  	D. Multiple Family Residential	$6,570.00	$34,600.00
06060001400	Commercial  	K. Unrestricted	$23,700.00	$74,100.00
06230001200	vacant residential lot  	D. Multiple Family Residential	$490.00	$2,600.00
06080000400	Commercial  	K. Unrestricted	$900.00	$2,800.00
06700001500	multi-building residential  	D. Multiple Family Residential	$150,630.00	$792,800.00
05000000100	Commercial  	I. Central Business District	$857,300.00	$2,679,100.00
00700000460	Commercial  	L. Jefferson Memorial District	$305,400.00	$954,400.00
02740000700	Commercial  	I. Central Business District	$172,300.00	$538,400.00
04530000600	Commercial  	K. Unrestricted	$13,500.00	$42,200.00
06340000900	vacant residential lot  	D. Multiple Family Residential	$40.00	$200.00
05900000750	Commercial  	J. Industrial	$70,300.00	$219,700.00
03510000100	Commercial  		$0.00	$0.00
00250000050	Commercial  	L. Jefferson Memorial District	$456,000.00	$1,425,000.00
04220000600	Commercial  	K. Unrestricted	$50,700.00	$158,400.00
03950000150	four family unit  	D. Multiple Family Residential	$31,690.00	$166,800.00
05540000700	vacant residential lot  	D. Multiple Family Residential	$680.00	$3,600.00
03730000600	single family units  	G. Local Commercial and Office	$28,080.00	$147,800.00
04090001000	vacant residential lot  	D. Multiple Family Residential	$1,100.00	$5,800.00
03200000100	Commercial  	K. Unrestricted	$28,100.00	$87,800.00
02950000150	Commercial  	K. Unrestricted	$39,200.00	$122,500.00
00970000100	Commercial  	L. Jefferson Memorial District	$36,920.00	$194,300.00
00220000150	vacant residential lot  	F. Neighborhood Commercial	$0.00	$0.00
04830301800	vacant residential lot  	C. Multiple Family Residential	$3,060.00	$16,100.00
06330000800	three family unit  	F. Neighborhood Commercial	$15,750.00	$82,900.00
00140000900	Commercial  		$0.00	$0.00
06790000400	single family units  	D. Multiple Family Residential	$49,930.00	$262,800.00
07810002400	single family units  	D. Multiple Family Residential	$7,830.00	$41,200.00
04040080610	 	D. Multiple Family Residential		
06780200300	Commercial  	G. Local Commercial and Office	$17,300.00	$54,100.00
06810002400	vacant residential lot  	D. Multiple Family Residential	$3,800.00	$20,000.00
03910001400	single family units  	D. Multiple Family Residential	$28,010.00	$147,400.00
07790000400	Commercial  	G. Local Commercial and Office	$18,900.00	$59,100.00
06240001300	vacant residential lot  	F. Neighborhood Commercial	$170.00	$900.00
02790000350				
04750001450	single family units  	A. Single Family Residential	$33,060.00	$174,000.00
03250001000	Commercial  	J. Industrial	$6,500.00	$20,300.00
00730300750	Commercial  		$56,400.00	$176,300.00
02630000980	single family units  	D. Multiple Family Residential	$22,230.00	$117,000.00
07800002050	single family units  	D. Multiple Family Residential	$25,710.00	$135,300.00
06610400500	Commercial  	K. Unrestricted	$8,400.00	$26,300.00
06040000400	Commercial  	J. Industrial	$27,400.00	$85,600.00
02620003500	single family units  	D. Multiple Family Residential	$9,500.00	$50,000.00
01550000400	Commercial  	I. Central Business District	$61,300.00	$191,600.00
00700000200	Commercial  	L. Jefferson Memorial District	$25,900.00	$80,900.00
07040000400	Commercial  	J. Industrial	$101,100.00	$315,900.00
04670302200	single family units  	D. Multiple Family Residential	$30,270.00	$159,300.00
04440500100	Commercial  	K. Unrestricted	$23,100.00	$72,200.00
07570000300				
05980001200	Commercial  	J. Industrial	$13,900.00	$43,400.00
03940000500	two family unit  	D. Multiple Family Residential	$46,250.00	$243,400.00
06730200200	vacant residential lot  	C. Multiple Family Residential	$110.00	$600.00
04840006300	single family units  	B. Two Family Residential	$34,300.00	$180,500.00
07110000500	Commercial  	G. Local Commercial and Office	$60,500.00	$189,100.00
06670000400	single family units  	G. Local Commercial and Office	$49,950.00	$262,900.00
03110000250	Commercial  	K. Unrestricted	$10,600.00	$33,100.00
01610000120	Commercial  	I. Central Business District	$3,200.00	$10,000.00
00670000210	Commercial  	L. Jefferson Memorial District	$36,600.00	$114,400.00
04650303800	single family units  	D. Multiple Family Residential	$26,200.00	$137,900.00
04660300100	single family units  	D. Multiple Family Residential	$46,320.00	$243,800.00
05620002800	single family units  	D. Multiple Family Residential	$5,130.00	$27,000.00
06840001250	four family unit  	D. Multiple Family Residential	$45,750.00	$240,800.00
03720002500	two family unit  	D. Multiple Family Residential	$20,310.00	$106,900.00
04750001830	single family units  	A. Single Family Residential	$23,090.00	$121,500.00
04340080110	 	I. Central Business District		
06650300500	Commercial  	K. Unrestricted	$1,400.00	$4,400.00
03840001500	multi-family residential  	G. Local Commercial and Office	$49,000.00	$257,900.00
04840001310	single family units  	B. Two Family Residential	$57,910.00	$304,800.00
06310001200	vacant residential lot  	J. Industrial	$1,430.00	$7,500.00
00180000300	Commercial  	L. Jefferson Memorial District	$73,600.00	$230,000.00
06140001400	Commercial  	J. Industrial	$38,800.00	$121,300.00
05620004300	single family units  	D. Multiple Family Residential	$6,570.00	$34,600.00
01770000900	Commercial  	I. Central Business District	$25,900.00	$80,900.00
07800000700	single family units  	D. Multiple Family Residential	$42,690.00	$224,700.00
04830301460				
06800000700	Commercial  	F. Neighborhood Commercial	$5,200.00	$16,300.00
04830402660	vacant residential lot  	C. Multiple Family Residential	$4,450.00	$23,400.00
04060600100	vacant residential lot  		$54,150.00	$285,000.00
00680000500	Commercial  	L. Jefferson Memorial District	$0.00	$0.00
06610300310	Commercial  	K. Unrestricted	$28,900.00	$90,300.00
06581300300	Commercial  	J. Industrial	$17,000.00	$53,100.00
00660001500	Commercial  	L. Jefferson Memorial District	$499,300.00	$1,560,300.00
06390000500	single family units  	F. Neighborhood Commercial	$1,730.00	$9,100.00
06450000150	Commercial  	F. Neighborhood Commercial	$12,700.00	$39,700.00
02330000700	Commercial  	K. Unrestricted	$2,700.00	$8,400.00
03450000600	vacant residential lot  	J. Industrial	$80.00	$400.00
04830402250				
