parcelid	land use	zoning	assessed total	appraised total
04650300630	single family units  	D. Multiple Family Residential	$25,860.00	$136,100.00
04390000200	Commercial  	K. Unrestricted	$55,200.00	$172,500.00
02680000200	multi-family residential  	D. Multiple Family Residential	$265,050.00	$1,395,000.00
06800001200	two family unit  	D. Multiple Family Residential	$12,290.00	$64,700.00
05120001400	Commercial  	I. Central Business District	$29,400.00	$91,900.00
03900002200	two family unit  	D. Multiple Family Residential	$20,600.00	$108,400.00
06660001550	single family units  	D. Multiple Family Residential	$23,750.00	$125,000.00
01090000250	Commercial  		$2,200.00	$6,900.00
05540001200	vacant residential lot  	G. Local Commercial and Office	$720.00	$3,800.00
04820900800	single family units  	B. Two Family Residential	$55,080.00	$289,900.00
03730001300	Commercial  	G. Local Commercial and Office	$7,500.00	$23,400.00
04090000500	vacant residential lot  	D. Multiple Family Residential	$4,770.00	$25,100.00
06630002300	single family units  	D. Multiple Family Residential	$30,690.00	$161,500.00
05970001350	Commercial  	G. Local Commercial and Office	$16,700.00	$52,200.00
04750001620	single family units  	A. Single Family Residential	$30,690.00	$161,500.00
05090000500	Commercial  	I. Central Business District	$154,600.00	$483,100.00
06640400100	Commercial  	K. Unrestricted	$0.00	$0.00
03640000800	vacant residential lot  	D. Multiple Family Residential	$340.00	$1,800.00
00260000100	Commercial  	L. Jefferson Memorial District	$113,900.00	$355,900.00
04090000190	single family units  	D. Multiple Family Residential	$23,710.00	$124,800.00
02910000100	Commercial  	K. Unrestricted	$26,900.00	$84,100.00
06190600250	Commercial  	G. Local Commercial and Office	$36,400.00	$113,800.00
04640401730	single family units  	D. Multiple Family Residential	$26,710.00	$140,600.00
06770000100	vacant residential lot  		$23,620.00	$124,300.00
03240000150	Commercial  	J. Industrial	$121,400.00	$379,400.00
06240000600	vacant residential lot  	D. Multiple Family Residential	$340.00	$1,800.00
04050000360	vacant residential lot  	D. Multiple Family Residential	$3,990.00	$21,000.00
03090300300	Commercial  	K. Unrestricted	$0.00	$0.00
03250000500	Commercial  	J. Industrial	$49,600.00	$155,000.00
02020000210				
06900000200	Commercial  	K. Unrestricted	$26,500.00	$82,800.00
02760000200	Commercial  	I. Central Business District	$0.00	$0.00
05270000200	Commercial  	I. Central Business District	$54,500.00	$170,300.00
04510000300	Commercial  	K. Unrestricted	$9,200.00	$28,800.00
00740000250	Commercial  	L. Jefferson Memorial District	$3,800.00	$11,900.00
05250000310	Commercial  	I. Central Business District	$68,600.00	$214,400.00
04530000210	Commercial  	K. Unrestricted	$61,000.00	$190,600.00
06230000160	single family units  	F. Neighborhood Commercial	$15,580.00	$82,000.00
05200301200	Commercial  	I. Central Business District	$137,200.00	$428,800.00
04210000130	Commercial  	K. Unrestricted	$32,600.00	$101,900.00
04480000800	Commercial  	J. Industrial	$34,600.00	$108,100.00
06570001600	Commercial  	J. Industrial	$1,000.00	$3,100.00
06040001100	Commercial  	J. Industrial	$39,600.00	$123,800.00
05960001700	Commercial  	G. Local Commercial and Office	$800.00	$2,500.00
02620002000	single family units  	D. Multiple Family Residential	$9,750.00	$51,300.00
